trace_id,target_model,run_model,fallback_used,subject,question_uuid,ground_truth_answer_modified,parsed_solution_choice,matches_ground_truth_modified,generation_seconds,format_warnings,source_folder
meta-llama/Llama-3.1-8B-Instruct::3f529e69-94d0-47ed-8a41-7b0c3013ce64,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,3f529e69-94d0-47ed-8a41-7b0c3013ce64,B,,,8.861,"[""missing_solution_line"", ""5_lines_without_step_or_solution_prefix""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::95787a82-612a-4791-8900-efec57d464ae,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,95787a82-612a-4791-8900-efec57d464ae,D,,,10.172,"[""missing_solution_line"", ""8_lines_without_step_or_solution_prefix""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::9c50d98f-47a4-4081-a747-b2304fe3e0f7,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,9c50d98f-47a4-4081-a747-b2304fe3e0f7,D,D,True,7.772,[],llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::127ba68f-f6ac-4aae-b425-b2158d16d5bf,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,127ba68f-f6ac-4aae-b425-b2158d16d5bf,C,,,12.314,"[""missing_solution_line"", ""5_lines_without_step_or_solution_prefix""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::e313dea2-4133-421a-90a8-a334a3bce247,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,e313dea2-4133-421a-90a8-a334a3bce247,B,B,True,11.123,"[""10_lines_without_step_or_solution_prefix""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::853ce29e-898e-4a7d-9203-d51869ab9002,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,853ce29e-898e-4a7d-9203-d51869ab9002,D,,,9.098,"[""missing_solution_line"", ""5_lines_without_step_or_solution_prefix""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::447801b7-18c8-4e21-96e7-a9fe66a327dc,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,447801b7-18c8-4e21-96e7-a9fe66a327dc,D,,,11.151,"[""missing_solution_line"", ""5_lines_without_step_or_solution_prefix""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::c147285c-6fa3-4d82-bf67-64b987e03fd1,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,c147285c-6fa3-4d82-bf67-64b987e03fd1,D,,,6.881,"[""missing_solution_line""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::d93bae40-bdff-4db2-ac3c-3847744ab959,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,d93bae40-bdff-4db2-ac3c-3847744ab959,A,,,8.102,"[""missing_solution_line"", ""5_lines_without_step_or_solution_prefix""]",llama3p1_8b_10traces
meta-llama/Llama-3.1-8B-Instruct::088bc86e-175d-4edb-8394-2671e8d5d1aa,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,False,high_school_biology,088bc86e-175d-4edb-8394-2671e8d5d1aa,D,D,True,7.921,[],llama3p1_8b_10traces
Qwen/Qwen2.5-7B-Instruct::3f529e69-94d0-47ed-8a41-7b0c3013ce64,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,3f529e69-94d0-47ed-8a41-7b0c3013ce64,B,B,True,7.278,[],qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::95787a82-612a-4791-8900-efec57d464ae,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,95787a82-612a-4791-8900-efec57d464ae,D,B,False,8.042,"[""5_lines_without_step_or_solution_prefix""]",qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::9c50d98f-47a4-4081-a747-b2304fe3e0f7,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,9c50d98f-47a4-4081-a747-b2304fe3e0f7,D,D,True,6.37,[],qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::127ba68f-f6ac-4aae-b425-b2158d16d5bf,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,127ba68f-f6ac-4aae-b425-b2158d16d5bf,C,C,True,7.709,"[""5_lines_without_step_or_solution_prefix""]",qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::e313dea2-4133-421a-90a8-a334a3bce247,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,e313dea2-4133-421a-90a8-a334a3bce247,B,B,True,6.233,[],qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::853ce29e-898e-4a7d-9203-d51869ab9002,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,853ce29e-898e-4a7d-9203-d51869ab9002,D,B,False,6.679,[],qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::447801b7-18c8-4e21-96e7-a9fe66a327dc,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,447801b7-18c8-4e21-96e7-a9fe66a327dc,D,D,True,9.322,[],qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::c147285c-6fa3-4d82-bf67-64b987e03fd1,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,c147285c-6fa3-4d82-bf67-64b987e03fd1,D,D,True,5.46,[],qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::d93bae40-bdff-4db2-ac3c-3847744ab959,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,d93bae40-bdff-4db2-ac3c-3847744ab959,A,A,True,8.224,[],qwen2p5_7b_10traces
Qwen/Qwen2.5-7B-Instruct::088bc86e-175d-4edb-8394-2671e8d5d1aa,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,088bc86e-175d-4edb-8394-2671e8d5d1aa,D,D,True,5.338,[],qwen2p5_7b_10traces
Qwen/Qwen3.6-27B::3f529e69-94d0-47ed-8a41-7b0c3013ce64,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,3f529e69-94d0-47ed-8a41-7b0c3013ce64,B,B,True,19.765,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::95787a82-612a-4791-8900-efec57d464ae,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,95787a82-612a-4791-8900-efec57d464ae,D,A,False,27.946,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::9c50d98f-47a4-4081-a747-b2304fe3e0f7,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,9c50d98f-47a4-4081-a747-b2304fe3e0f7,D,D,True,23.477,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::127ba68f-f6ac-4aae-b425-b2158d16d5bf,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,127ba68f-f6ac-4aae-b425-b2158d16d5bf,C,C,True,32.185,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::e313dea2-4133-421a-90a8-a334a3bce247,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,e313dea2-4133-421a-90a8-a334a3bce247,B,B,True,18.858,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::853ce29e-898e-4a7d-9203-d51869ab9002,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,853ce29e-898e-4a7d-9203-d51869ab9002,D,B,False,21.074,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::447801b7-18c8-4e21-96e7-a9fe66a327dc,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,447801b7-18c8-4e21-96e7-a9fe66a327dc,D,,,35.257,"[""missing_solution_line""]",qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::c147285c-6fa3-4d82-bf67-64b987e03fd1,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,c147285c-6fa3-4d82-bf67-64b987e03fd1,D,D,True,16.415,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::d93bae40-bdff-4db2-ac3c-3847744ab959,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,d93bae40-bdff-4db2-ac3c-3847744ab959,A,A,True,31.952,[],qwen3p6_27b_10traces
Qwen/Qwen3.6-27B::088bc86e-175d-4edb-8394-2671e8d5d1aa,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,False,high_school_biology,088bc86e-175d-4edb-8394-2671e8d5d1aa,D,D,True,16.652,[],qwen3p6_27b_10traces
